"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AT4G12400"	-1.88573990612193	6.0905264053955	-7.00201370722304	7.03913284677954e-07	0.000208992845648046	6.07505603263237
"AT4G09030"	0.794849845273164	5.68238142630747	6.98409039186158	7.31147457152695e-07	0.000214063727733039	6.04025420521216
"AT5G59590"	-1.93572373513511	4.18811000786564	-6.97460646043945	7.45994759977844e-07	0.000215418760826479	6.06930255009972
"AT2G34190"	1.34229256532842	4.51993083668073	6.95673934167577	7.74815252243826e-07	0.000220717642125674	6.02615002147301
"AT1G29160"	0.824046822718965	4.26429655798165	6.93886704536865	8.04792178241377e-07	0.00022620025489771	5.99307685139303
"AT1G21090"	1.25270912750788	4.19503519752619	6.93161758900461	8.17289594063616e-07	0.000226690324248171	5.98149079537932
"AT3G51740"	1.67577149680007	5.59207925357199	6.88912788879865	8.94665187769323e-07	0.000244929118937368	5.85123143569768
"AT4G20890"	0.691527599384609	7.48539319434889	6.87917480740536	9.13856161543724e-07	0.000246975485709509	5.7959470899854
"AT1G19880"	0.592152024671534	5.99682963611456	6.84609754509664	9.80732952646513e-07	0.000261694311921373	5.73795083642128
"AT5G19780"	0.548795647540768	8.13474889132668	6.80765438314925	1.06482536161423e-06	0.000279187351375238	5.64559692582907
"AT4G18510"	1.96561284874177	3.03844749474618	6.79550935831775	1.092906722178e-06	0.000279187351375238	5.63977426616688
"AT3G13224"	-0.620785904828268	4.64349560876308	-6.7932354561738	1.09824846613485e-06	0.000279187351375238	5.67961485964678
"AT1G65590"	-0.842635534424187	6.31877600633379	-6.79280313654584	1.09926708558561e-06	0.000279187351375238	5.620117272146
"AT5G10170"	1.02502758624697	6.18148962194618	6.75656478051333	1.18820104548596e-06	0.000298181881414809	5.54476080017142
"AT1G19600"	0.998362358426157	6.45980929125162	6.73665888480483	1.24016933345065e-06	0.00030756199469576	5.49945794633385
"AT4G12030"	2.00936083758162	5.11095976248788	6.71260798665212	1.30609071401701e-06	0.000320144095947424	5.49611149277106
"AT1G47970"	0.673539581996797	6.2445914994238	6.70511119501788	1.32736709500241e-06	0.00032161952140978	5.43346965442983
"AT1G28290"	0.923525744526348	9.26564411555982	6.6791825038831	1.40374215658497e-06	0.000334054813618589	5.37744514152476
"AT5G54470"	2.20041289168283	2.29725769545124	6.67699685152703	1.41038322637829e-06	0.000334054813618589	5.24715535643659
"AT5G25110"	-1.72794898534587	4.39806719533011	-6.64996009284822	1.49525629411496e-06	0.000347683465646121	5.3951239202579
"AT5G61230"	-0.538265371090125	6.11125544260512	-6.64821531512577	1.50091059647993e-06	0.000347683465646121	5.31431986579541
"AT1G60470"	4.24124803738616	1.62698239720538	6.64281218900767	1.51856031412431e-06	0.000347948385018918	4.67985691434136
"AT2G34420"	-4.76353764111467	7.81301079079437	-6.6037364742611	1.65272206421038e-06	0.000373107174503866	5.23938020598794
"AT3G19040"	1.89129335922325	1.10891523386173	6.59740415332693	1.67558412081008e-06	0.000373107174503866	4.54499921021078
"AT4G36880"	-1.94465711097227	3.11320558988196	-6.59354626006473	1.68967161388505e-06	0.000373107174503866	5.27013448914758
"AT3G10020"	-2.06811624037386	5.99584513878812	-6.59096647573447	1.69915980798724e-06	0.000373107174503866	5.21477730737615
"AT5G17300"	1.78053307125747	5.73961902228641	6.58150406591875	1.73443280598055e-06	0.00037692622216567	5.20188644606057
"AT5G15860"	-0.942927888769577	5.39085057124541	-6.57020119725487	1.77755444305651e-06	0.000377908027909625	5.17268499678008
"AT5G51590"	1.20314301976966	4.31491548401055	6.56883247581401	1.78285050596662e-06	0.000377908027909625	5.2242421655422
"AT2G41620"	0.631896641098764	5.83310925665855	6.56628967165494	1.79273258021644e-06	0.000377908027909625	5.1480107521087
